# conflictIndex, flightIndex1, flightIndex2, lat1, lon1, time1, lat2, lon2, time2
69, 84, 0, 32.076588, -76.650772, 304.000000, 32.076588, -76.650772, 293.000000
70, 523, 604, 31.987862, -57.328251, 972.000000, 31.988070, -57.327904, 973.000000
71, 354, 410, 32.625637, -93.302979, 1083.000000, 32.625359, -93.294098, 1070.000000
72, 357, 399, 32.648373, -93.300789, 1084.000000, 32.648373, -93.300789, 1112.000000
73, 731, 760, 32.503304, -88.838814, 1323.000000, 32.503304, -88.838814, 1349.000000
74, 752, 0, 32.548653, -88.685577, 1341.000000, 32.556194, -88.687042, 1350.000000
75, 731, 760, 32.608913, -88.535088, 1325.000000, 32.608913, -88.535088, 1351.000000
76, 38, 116, 32.377430, -77.986221, 104.000000, 32.377430, -77.986221, 66.000000
77, 116, 116, 32.705860, -77.690750, 69.000000, 32.705860, -77.690750, 107.000000
78, 84, 285, 32.794048, -76.170509, 310.000000, 32.794048, -76.170509, 299.000000
79, 87, 0, 32.784359, 33.847797, 814.000000, 32.784359, 33.847797, 758.000000
80, 225, 0, 32.784359, 33.847797, 782.000000, 32.784359, 33.847797, 758.000000
81, 234, 90, 32.764729, 33.761017, 806.000000, 32.764729, 33.761017, 826.000000
82, 234, 90, 32.581841, 34.013012, 808.000000, 32.581841, 34.013012, 829.000000
83, 234, 90, 32.581841, 34.013012, 809.000000, 32.581841, 34.013012, 829.000000
84, 270, 233, 32.896828, -97.037994, 429.000000, 32.896828, -97.037994, 473.000000
85, 252, 387, 32.958332, -96.984108, 785.000000, 32.963158, -96.902306, 842.000000
86, 321, 349, 33.090279, -96.856636, 1075.000000, 33.088284, -96.854141, 1096.000000
87, 327, 321, 33.083313, -96.864899, 1073.000000, 33.090279, -96.856636, 1075.000000
88, 349, 321, 33.194187, -96.751572, 1095.000000, 33.196999, -96.755463, 1074.000000
89, 370, 321, 33.196754, -96.746994, 1112.000000, 33.196999, -96.755463, 1074.000000
90, 370, 349, 33.092583, -96.848740, 1113.000000, 33.088284, -96.854141, 1096.000000
91, 514, 718, 32.896828, -97.037994, 1252.000000, 32.896828, -97.037994, 1280.000000
92, 718, 718, 32.896828, -97.037994, 1259.000000, 32.896828, -97.037994, 1280.000000
93, 741, 598, 32.943153, -96.896889, 1286.000000, 32.944584, -96.856743, 1279.000000
94, 879, 816, 32.896828, -97.037994, 1383.000000, 32.896828, -97.037994, 1347.000000
95, 894, 816, 32.896828, -97.037994, 1395.000000, 32.896828, -97.037994, 1347.000000
96, 895, 816, 32.896828, -97.037994, 1395.000000, 32.896828, -97.037994, 1347.000000
97, 410, 351, 32.952518, -93.012169, 1067.000000, 32.947781, -93.023819, 1069.000000
98, 731, 752, 32.871857, -87.770424, 1330.000000, 32.867096, -87.777756, 1347.000000
99, 760, 752, 32.871857, -87.770424, 1356.000000, 32.867096, -87.777756, 1347.000000
100, 731, 752, 33.028633, -87.306702, 1333.000000, 33.024353, -87.319473, 1350.000000
101, 760, 760, 33.080692, -87.151207, 1360.000000, 33.076565, -87.165756, 1351.000000
102, 731, 760, 33.235973, -86.682678, 1337.000000, 33.232330, -86.702621, 1354.000000
103, 760, 760, 33.235973, -86.682678, 1363.000000, 33.232330, -86.702621, 1354.000000
104, 116, 38, 33.033833, -77.391777, 72.000000, 33.033833, -77.391777, 110.000000
105, 494, 604, 32.969490, -53.983517, 928.000000, 32.976521, -53.747765, 949.000000
106, 208, 225, 33.239544, 33.222160, 752.000000, 33.239544, 33.222160, 776.000000
107, 87, 208, 33.239544, 33.222160, 808.000000, 33.239544, 33.222160, 752.000000
108, 234, 90, 33.129299, 33.253708, 802.000000, 33.129299, 33.253708, 822.000000
109, 208, 225, 33.057571, 33.472775, 754.000000, 33.057571, 33.472775, 779.000000
110, 208, 225, 33.057571, 33.472775, 755.000000, 33.057571, 33.472775, 779.000000
111, 87, 208, 33.057571, 33.472775, 810.000000, 33.057571, 33.472775, 755.000000
112, 87, 208, 33.057571, 33.472775, 811.000000, 33.057571, 33.472775, 755.000000
113, 224, 242, 33.112671, 34.379459, 1355.000000, 33.112671, 34.379459, 1368.000000
