conflictIndex,flight1,flight2,lat1,lat2,lon1,lon2,time1,time2
0,0,5,51.83137512207031,51.836097717285156,-35.49065399169922,-35.38942337036133,192.0,190.0
1,0,7,51.871917724609375,51.867488861083984,-35.26836395263672,-35.39219665527344,193.0,178.0
2,0,10,50.71753692626953,50.72329330444336,-42.32085037231445,-42.315067291259766,162.0,173.0
3,0,14,48.6957893371582,48.69232177734375,-52.814456939697266,-53.068199157714844,115.0,132.0
4,0,28,51.83137512207031,51.836097717285156,-35.49065399169922,-35.38942337036133,192.0,231.0
5,0,31,45.59001922607422,45.5850830078125,-63.76401901245117,-63.88127899169922,62.0,96.0
6,1,23,48.68272018432617,48.68778991699219,-16.84307098388672,-16.628263473510742,275.0,318.0
7,1,23,41.29694366455078,41.29694366455078,2.0783329010009766,2.0783329010009766,382.0,426.0
8,1,27,45.567466735839844,45.5709114074707,-7.730518817901611,-7.492620944976807,322.0,367.0
9,2,3,48.68633270263672,48.69144058227539,-53.43440246582031,-53.96617126464844,109.0,114.0
10,2,5,51.84442138671875,51.836097717285156,-34.84275436401367,-35.38942337036133,188.0,190.0
11,2,5,51.477500915527344,51.477500915527344,-0.4613890051841736,-0.4613890051841736,336.0,342.0
12,2,7,52.405517578125,52.40671157836914,-19.059343338012695,-19.05078125,256.0,249.0
13,2,7,51.477500915527344,51.477500915527344,-0.4613890051841736,-0.4613890051841736,336.0,330.0
14,2,8,51.84442138671875,51.84654998779297,-34.84275436401367,-34.61665725708008,188.0,203.0
15,2,8,51.922447204589844,51.919063568115234,-34.133235931396484,-34.17201232910156,191.0,205.0
16,2,10,50.537750244140625,50.53794479370117,-44.165122985839844,-44.168663024902344,149.0,165.0
17,2,14,48.68633270263672,48.69232177734375,-53.43440246582031,-53.068199157714844,109.0,132.0
18,2,16,51.477500915527344,51.477500915527344,-0.4613890051841736,-0.4613890051841736,336.0,353.0
19,2,24,51.477500915527344,51.477500915527344,-0.4613890051841736,-0.4613890051841736,336.0,378.0
20,2,27,50.370975494384766,50.37406539916992,-45.104244232177734,-45.10902786254883,145.0,189.0
21,2,28,51.84442138671875,51.836097717285156,-34.84275436401367,-35.38942337036133,188.0,231.0
22,2,28,51.477500915527344,51.477500915527344,-0.4613890051841736,-0.4613890051841736,336.0,383.0
23,3,11,49.59038162231445,49.596378326416016,-49.36430740356445,-49.367122650146484,135.0,145.0
24,3,20,48.69144058227539,48.68633270263672,-53.96617126464844,-53.43440246582031,114.0,139.0
25,4,6,51.83113479614258,51.82783889770508,-40.30369567871094,-39.82773208618164,232.0,185.0
26,4,6,53.42133331298828,53.42133331298828,-6.270074844360352,-6.270074844360352,378.0,335.0
27,4,13,53.42133331298828,53.42133331298828,-6.270074844360352,-6.270074844360352,378.0,339.0
28,4,17,48.70137405395508,48.700538635253906,-58.18266296386719,-57.61653518676758,155.0,186.0
29,4,17,53.42133331298828,53.42133331298828,-6.270074844360352,-6.270074844360352,378.0,413.0
30,4,41,53.42133331298828,53.42133331298828,-6.270074844360352,-6.270074844360352,378.0,404.0
31,5,7,51.477500915527344,51.477500915527344,-0.4613890051841736,-0.4613890051841736,342.0,330.0
32,5,8,52.055519104003906,52.057899475097656,-33.27091598510742,-33.28360366821289,199.0,209.0
33,5,13,47.11850357055664,47.11235427856445,-59.481590270996094,-59.47828674316406,85.0,101.0
34,5,16,51.83782958984375,51.83667755126953,-10.836817741394043,-10.239500999450684,295.0,307.0
35,5,20,51.836097717285156,51.84442138671875,-35.38942337036133,-34.84275436401367,190.0,218.0
36,5,20,51.477500915527344,51.477500915527344,-0.4613890051841736,-0.4613890051841736,342.0,366.0
37,6,10,49.887813568115234,49.88524627685547,-49.71866226196289,-49.71615219116211,141.0,141.0
38,6,13,45.562217712402344,45.56525802612305,-64.76524353027344,-64.23112487792969,68.0,77.0
39,6,13,53.42133331298828,53.42133331298828,-6.270074844360352,-6.270074844360352,335.0,339.0
40,6,16,45.562217712402344,45.56598663330078,-64.76524353027344,-64.16966247558594,68.0,63.0
41,6,24,48.71735382080078,48.71200180053711,-54.427581787109375,-54.132659912109375,119.0,146.0
42,6,37,45.562217712402344,45.567020416259766,-64.76524353027344,-64.23603820800781,68.0,126.0
43,7,8,52.09540557861328,52.091285705566406,-33.0428581237793,-33.0609016418457,188.0,210.0
44,7,13,51.70268630981445,51.706966400146484,-36.81388473510742,-36.85021209716797,172.0,203.0
45,7,16,51.477500915527344,51.477500915527344,-0.4613890051841736,-0.4613890051841736,330.0,353.0
46,7,20,52.40671157836914,52.405517578125,-19.05078125,-19.059343338012695,249.0,286.0
47,7,20,51.477500915527344,51.477500915527344,-0.4613890051841736,-0.4613890051841736,330.0,366.0
48,7,24,51.93075180053711,51.9275016784668,-10.453161239624023,-10.370102882385254,285.0,333.0
49,7,24,51.477500915527344,51.477500915527344,-0.4613890051841736,-0.4613890051841736,330.0,378.0
50,7,28,51.477500915527344,51.477500915527344,-0.4613890051841736,-0.4613890051841736,330.0,383.0
51,8,20,51.84654998779297,51.84442138671875,-34.61665725708008,-34.84275436401367,203.0,218.0
52,8,20,51.919063568115234,51.922447204589844,-34.17201232910156,-34.133235931396484,205.0,221.0
53,8,28,52.057899475097656,52.055519104003906,-33.28360366821289,-33.27091598510742,209.0,240.0
54,9,10,49.573272705078125,49.570892333984375,-51.76527786254883,-51.775001525878906,132.0,132.0
55,9,11,48.66967010498047,48.6712532043457,-55.41722869873047,-55.26297378540039,115.0,119.0
56,9,27,49.85237121582031,49.84858322143555,-50.70026779174805,-50.702056884765625,137.0,165.0
57,10,12,50.56184768676758,50.56909942626953,-43.937435150146484,-43.94111633300781,166.0,162.0
58,10,20,50.53794479370117,50.537750244140625,-44.168663024902344,-44.165122985839844,165.0,179.0
59,10,22,41.804473876953125,41.804473876953125,12.250797271728516,12.250797271728516,441.0,457.0
60,10,347,41.804473876953125,41.804473876953125,12.250797271728516,12.250797271728516,441.0,456.0
61,10,381,41.804473876953125,41.804473876953125,12.250797271728516,12.250797271728516,441.0,498.0
62,11,14,49.77400588989258,49.780887603759766,-47.51517868041992,-47.51775360107422,153.0,157.0
63,11,24,49.41563415527344,49.41586685180664,-50.98332977294922,-50.975311279296875,138.0,160.0
64,11,31,49.876216888427734,49.86869812011719,-46.35894012451172,-46.358612060546875,158.0,176.0
65,11,32,49.596378326416016,49.59965133666992,-49.367122650146484,-49.366172790527344,145.0,189.0
66,12,13,48.71406936645508,48.71419906616211,-53.68678283691406,-53.29458999633789,121.0,130.0
67,12,13,50.609249114990234,50.60663986206055,-43.70012664794922,-43.69734191894531,163.0,173.0
68,12,32,45.5492057800293,45.551727294921875,-64.63525390625,-65.29707336425781,71.0,113.0
69,12,32,49.80487823486328,49.797821044921875,-48.254737854003906,-48.252830505371094,144.0,194.0
70,13,24,51.842533111572266,51.847042083740234,-36.18120193481445,-36.38029098510742,206.0,222.0
71,13,28,47.11235427856445,47.11850357055664,-59.47828674316406,-59.481590270996094,101.0,126.0
72,13,39,45.56525802612305,45.569820404052734,-64.23112487792969,-64.04974365234375,77.0,127.0
73,14,20,48.69232177734375,48.68633270263672,-53.068199157714844,-53.43440246582031,132.0,139.0
74,14,39,44.264408111572266,44.25800323486328,-67.0822525024414,-67.07858276367188,62.0,111.0
75,14,39,45.653892517089844,45.648563385009766,-63.79243850708008,-63.85566329956055,80.0,128.0
76,14,39,48.69232177734375,48.69667434692383,-53.068199157714844,-53.58087158203125,132.0,176.0
77,14,40,51.72537612915039,51.720481872558594,-33.627254486083984,-33.63978958129883,218.0,262.0
78,15,26,51.42382049560547,51.42544937133789,-32.51030349731445,-32.50682830810547,326.0,304.0
79,15,33,51.833194732666016,51.839393615722656,-29.422250747680664,-28.65166473388672,340.0,341.0
